rank,vertical,primary_archetype,opportunity_score,reuse_score,workflow_frequency_score,revenue_retention_score,feasibility_score,safety_readiness_score,recommended_wave,customer_ai,owner_ai_daily,required_pack,hard_boundary
1,"Coaching & training","Content/cohort + appointment",4.85,5,5,5,4,5,"Wave 0: deepen current base","Answer program questions; recommend course; book trial; enroll and pay","Morning cohort brief; attendance and homework follow-up; progress summaries; renewal nudges; content repurposing","Cohorts, attendance, assignments, certificates, subscriptions","Do not claim guaranteed outcomes or fabricate progress"
2,"Consultants & agencies","Case/project + appointment",4.85,5,5,5,4,5,"Wave 0: deepen current base","Qualify needs; show proof; book discovery; collect brief","Triage leads; draft proposal and scope; track deliverables; meeting follow-up; invoice reminders","Pipeline, proposals, projects, time, invoices","External sends and contractual commitments require approval"
3,"Retail & social commerce","Commerce",4.73,5,5,5,3.5,4.5,"Wave 0: deepen current base","Product discovery; stock questions; checkout; order status; returns intake","Catalog cleanup; inventory alerts; abandoned-cart follow-up; campaign drafts; fulfilment exceptions","Inventory, variants, shipping, returns, supplier sync","Refunds, price changes and bulk outreach require approval"
4,"Salon, spa & wellness","Appointment",4.55,4.5,5,4.5,4,4.5,"Wave 1: next pilot","Discover service; choose staff; book; deposit; reschedule","Fill schedule gaps; no-show recovery; rebooking; packages and memberships; staff utilization","Staff calendar, resources, deposits, packages, waitlist","Sensitive wellness claims must stay non-diagnostic"
5,"CA & accounting firms","Case/project + appointment",4.47,4.5,5,5,3.5,3.5,"Wave 0: deepen current base","Service fit; document checklist; appointment; case status","Deadline brief; missing-document chase; draft client updates; task routing; invoice follow-up","Cases, deadlines, document requests, approvals, accounting integrations","No filing, tax position or legal commitment without professional approval"
6,"Restaurant & cloud kitchen","Venue/order",4.45,4.5,5,5,3,4,"Wave 0: finish in-flight reference vertical","Menu and AR dish discovery; table booking; order; payment; live status","Kitchen and staff queue; delayed-order alerts; reservation load; stock and review follow-up","Tables, QR, KDS/order board, live events, inventory, delivery/POS sync","Payments, cancellations and allergy-sensitive claims need explicit controls"
7,"Home & field services","Field job",4.42,4,5,5,3.5,4.5,"Wave 1: next pilot","Describe issue; upload photos; get estimate range; book slot; track technician","Dispatch; route and skills match; job cards; estimate approvals; parts and invoice follow-up","Jobs, technicians, assets, quotes, routes, parts","Hazardous repair guidance and high-value estimates require human review"
8,"Events, weddings & media","Case/project + appointment",4.42,4.5,4.5,4.5,4,4.5,"Wave 1: next pilot","Discover packages; check date; request quote; book consultation","Vendor checklist; milestones; run-of-show; payment schedule; client updates","Projects, vendors, packages, milestones, contracts","Contracts, cancellations and vendor commitments require approval"
9,"Real estate & property","Case/project + appointment",4.38,4,5,5,3.5,4,"Wave 1: next pilot","Listing Q&A; preference capture; viewing booking; document checklist","Lead scoring; property matching; follow-up; viewing plan; maintenance ticket routing","Listings, pipeline, viewings, documents, property tickets","No discriminatory screening, legal advice or binding offer without human review"
10,"Recruiting & staffing","Case/project",4.23,4,4.5,4.5,4,4,"Wave 2: after shared workflow core","Job Q&A; application intake; interview booking; status updates","CV parsing; candidate matching; shortlist drafts; interview coordination; follow-up","Jobs, candidates, stages, scorecards, interview calendar","Final hiring decisions and sensitive-trait inference remain human"
11,"Schools & daycare admin","Content/community + appointment",4.15,4.5,5,4,3,3,"Wave 2: admin-first","Admissions Q&A; tour booking; fee and calendar questions; parent updates","Inquiry follow-up; attendance alerts; notices; fee reminders; event coordination","Students/guardians, attendance, notices, fees, consent","Child data, discipline, grading and safeguarding decisions need strict controls"
12,"Hotels & homestays","Venue/reservation",4.15,3.5,5,5,3,4,"Wave 2: after restaurant engine","Room discovery; booking; pre-arrival questions; concierge; service requests","Occupancy brief; housekeeping and maintenance tickets; upsells; review recovery","Rooms, rates, reservations, housekeeping, tickets, channel manager","Rate changes, refunds and identity checks require approval or verified integration"
13,"Automotive services","Field job",4.13,3.5,5,4.5,3.5,4,"Wave 2: after field-service pilot","Book service; share symptoms; approve estimate; track vehicle; pay","Job card queue; technician assignment; parts alerts; service reminders; pickup coordination","Vehicles, job cards, inspections, parts, estimates","Safety diagnosis and work authorization require technician/customer approval"
14,"Clinics, dentists & physio — admin only","Appointment + case",4.08,4,5,5,2.5,2.5,"Wave 3: governance-gated pilot","Provider/service routing; appointment; intake; queue; reminders; non-clinical FAQs","No-show recovery; roster and room load; form chase; follow-up drafts; billing status","Consent, RBAC, audit, secure forms, retention, EHR/ABDM integration","No diagnosis, triage conclusion, prescription or autonomous clinical action"
15,"Pet care & veterinary admin","Appointment + case",4.00,4,4.5,4,3.5,3.5,"Wave 2: admin-first","Service discovery; booking; pet intake; vaccination reminders; order food/grooming","Recurring-care reminders; schedule load; stock alerts; follow-up drafts","Pets/owners, appointments, records, vaccination schedule, inventory","Veterinary diagnosis and medication decisions remain clinician-owned"
16,"Manufacturing & wholesale", "Commerce + case/inventory",3.85,3,5,5,2,4,"Wave 3: integration-heavy","Catalog and MOQ Q&A; quote request; order status; support ticket","RFQ triage; quote draft; production/order exceptions; distributor follow-up","B2B accounts, RFQs, price lists, inventory, ERP sync","Do not replace ERP/MRP initially; pricing and credit terms require approval"
17,"NGOs & associations","Community + content",3.85,4,4,3,4,4.5,"Wave 2: focused templates","Program Q&A; volunteer/member signup; donation/event support","Campaign drafts; volunteer matching; donor follow-up; receipts and impact updates","Membership, donors, volunteers, campaigns, receipts","Sensitive beneficiary data and public claims need consent and review"
18,"Hospitals — full clinical/operational stack","Venue + appointment + case",3.10,2,5,5,1,1,"Wave 4: not now","Department navigation; appointment and non-clinical information only","Potentially bed, roster, lab and discharge coordination after deep integration","Enterprise identity, clinical records, consent, audit, interoperability, uptime and incident controls","Do not attempt full hospital or clinical autonomy before dedicated compliance, security and integration program"
